0,Ht.no,Subcode,Subname,Grade,Credits
1471,O3,s4,s4,F,0
1472,O3,s5,s5,F,0
1473,O3,s6,s6,F,0
1474,O3,s3,s3 Lab,B,2
1475,O3,s1,s1 Lab,B,2
1476,O3,iv,iv,D,2
1477,O4,s1,s1,B,3
1478,O4,s2,s2,D,3
1479,O4,s3,s3,B,3
1480,O4,s4,s4,C,3
1481,O4,s5,s5,A,3
1482,O4,s6,s6,B,3
1483,O4,s3,s3 Lab,A,2
1484,O4,s1,s1 Lab,A,2
1485,O4,iv,iv,O,2
1486,O5,s1,s1,C,3
1487,O5,s2,s2,F,0
1488,O5,s3,s3,F,0
1489,O5,s4,s4,F,0
1490,O5,s5,s5,C,3
1491,O5,s6,s6,D,3
1492,O5,s3,s3 Lab,C,2
1493,O5,s1,s1 Lab,A,2
1494,O5,iv,iv,O,2
1495,O7,s1,s1,D,3
1496,O7,s2,s2,D,3
1497,O7,s3,s3,F,0
1498,O7,s4,s4,F,0
1499,O7,s5,s5,F,0
1500,O7,s6,s6,F,0
1501,O7,s3,s3 Lab,B,2
1502,O7,s1,s1 Lab,B,2
1503,O7,iv,iv,D,2
1504,O8,s1,s1,F,0
1505,O8,s2,s2,F,0
1506,O8,s3,s3,F,0
1507,O8,s4,s4,F,0
1508,O8,s5,s5,F,0
1509,O8,s6,s6,F,0
1510,O8,s3,s3 Lab,C,2
1511,O8,s1,s1 Lab,A,2
1512,O8,iv,iv,D,2
1513,O9,s1,s1,F,0
1514,O9,s2,s2,F,0
1515,O9,s3,s3,F,0
1516,O9,s4,s4,F,0
1517,O9,s5,s5,F,0
1518,O9,s6,s6,F,0
1519,O9,s3,s3 Lab,D,2
1520,O9,s1,s1 Lab,A,2
1521,O9,iv,iv,O,2
1522,P0,s1,s1,F,0
1523,P0,s2,s2,D,3
1524,P0,s3,s3,C,3
1525,P0,s4,s4,F,0
1526,P0,s5,s5,C,3
1527,P0,s6,s6,D,3
1528,P0,s3,s3 Lab,A,2
1529,P0,s1,s1 Lab,O,2
1530,P0,iv,iv,D,2
1531,P1,s1,s1,A,3
1532,P1,s2,s2,C,3
1533,P1,s3,s3,C,3
1534,P1,s4,s4,C,3
1535,P1,s5,s5,A,3
1536,P1,s6,s6,B,3
1537,P1,s3,s3 Lab,O,2
1538,P1,s1,s1 Lab,O,2
1539,P1,iv,iv,O,2
1540,P2,s1,s1,A,3
1541,P2,s2,s2,C,3
1542,P2,s3,s3,C,3
1543,P2,s4,s4,C,3
1544,P2,s5,s5,O,3
1545,P2,s6,s6,O,3
1546,P2,s3,s3 Lab,O,2
1547,P2,s1,s1 Lab,A,2
1548,P2,iv,iv,O,2
1549,P3,s1,s1,B,3
1550,P3,s2,s2,D,3
1551,P3,s3,s3,A,3
1552,P3,s4,s4,D,3
1553,P3,s5,s5,A,3
1554,P3,s6,s6,B,3
1555,P3,s3,s3 Lab,A,2
1556,P3,s1,s1 Lab,A,2
1557,P3,iv,iv,O,2
1558,P5,s1,s1,C,3
1559,P5,s2,s2,F,0
1560,P5,s3,s3,B,3
1561,P5,s4,s4,D,3
1562,P5,s5,s5,A,3
1563,P5,s6,s6,C,3
1564,P5,s3,s3 Lab,A,2
1565,P5,s1,s1 Lab,A,2
1566,P5,iv,iv,F,0
1567,P6,s1,s1,D,3
1568,P6,s2,s2,F,0
1569,P6,s3,s3,B,3
1570,P6,s4,s4,D,3
1571,P6,s5,s5,B,3
1572,P6,s6,s6,B,3
1573,P6,s3,s3 Lab,A,2
1574,P6,s1,s1 Lab,A,2
1575,P6,iv,iv,O,2
1576,P7,s1,s1,B,3
1577,P7,s2,s2,C,3
1578,P7,s3,s3,C,3
1579,P7,s4,s4,C,3
1580,P7,s5,s5,O,3
1581,P7,s6,s6,B,3
1582,P7,s3,s3 Lab,O,2
1583,P7,s1,s1 Lab,A,2
1584,P7,iv,iv,O,2
1585,P8,s1,s1,B,3
1586,P8,s2,s2,C,3
1587,P8,s3,s3,A,3
1588,P8,s4,s4,C,3
1589,P8,s5,s5,O,3
1590,P8,s6,s6,A,3
1591,P8,s3,s3 Lab,O,2
1592,P8,s1,s1 Lab,O,2
1593,P8,iv,iv,O,2
1594,P9,s1,s1,A,3
1595,P9,s2,s2,C,3
1596,P9,s3,s3,B,3
1597,P9,s4,s4,C,3
1598,P9,s5,s5,O,3
1599,P9,s6,s6,A,3
1600,P9,s3,s3 Lab,O,2
1601,P9,s1,s1 Lab,A,2
1602,P9,iv,iv,O,2
1603,Q0,s1,s1,C,3
1604,Q0,s2,s2,D,3
1605,Q0,s3,s3,D,3
1606,Q0,s4,s4,C,3
1607,Q0,s5,s5,B,3
1608,Q0,s6,s6,D,3
1609,Q0,s3,s3 Lab,B,2
1610,Q0,s1,s1 Lab,A,2
1611,Q0,iv,iv,A,2
1612,Q1,s1,s1,F,0
1613,Q1,s2,s2,D,3
1614,Q1,s3,s3,F,0
1615,Q1,s4,s4,F,0
1616,Q1,s5,s5,C,3
1617,Q1,s6,s6,F,0
1618,Q1,s3,s3 Lab,B,2
1619,Q1,s1,s1 Lab,A,2
1620,Q1,iv,iv,O,2
1621,Q2,s1,s1,O,3
1622,Q2,s2,s2,C,3
1623,Q2,s3,s3,B,3
1624,Q2,s4,s4,B,3
1625,Q2,s5,s5,A,3
1626,Q2,s6,s6,A,3
1627,Q2,s3,s3 Lab,O,2
1628,Q2,s1,s1 Lab,O,2
1629,Q2,iv,iv,O,2
1630,Q3,s1,s1,C,3
1631,Q3,s2,s2,C,3
1632,Q3,s3,s3,D,3
1633,Q3,s4,s4,D,3
1634,Q3,s5,s5,C,3
1635,Q3,s6,s6,B,3
1636,Q3,s3,s3 Lab,B,2
1637,Q3,s1,s1 Lab,A,2
1638,Q3,iv,iv,O,2
1639,Q4,s1,s1,A,3
1640,Q4,s2,s2,C,3
1641,Q4,s3,s3,C,3
1642,Q4,s4,s4,C,3
1643,Q4,s5,s5,A,3
1644,Q4,s6,s6,B,3
1645,Q4,s3,s3 Lab,A,2
1646,Q4,s1,s1 Lab,B,2
1647,Q4,iv,iv,O,2
1648,Q5,s1,s1,O,3
1649,Q5,s2,s2,C,3
1650,Q5,s3,s3,B,3
1651,Q5,s4,s4,B,3
1652,Q5,s5,s5,A,3
1653,Q5,s6,s6,B,3
1654,Q5,s3,s3 Lab,B,2
1655,Q5,s1,s1 Lab,A,2
1656,Q5,iv,iv,A,2
1657,Q6,s1,s1,C,3
1658,Q6,s2,s2,C,3
1659,Q6,s3,s3,B,3
1660,Q6,s4,s4,C,3
1661,Q6,s5,s5,B,3
1662,Q6,s6,s6,C,3
1663,Q6,s3,s3 Lab,A,2
1664,Q6,s1,s1 Lab,A,2
1665,Q6,iv,iv,A,2
1666,Q7,s1,s1,D,3
1667,Q7,s2,s2,C,3
1668,Q7,s3,s3,C,3
1669,Q7,s4,s4,D,3
1670,Q7,s5,s5,A,3
1671,Q7,s6,s6,C,3
1672,Q7,s3,s3 Lab,A,2
1673,Q7,s1,s1 Lab,A,2
1674,Q7,iv,iv,O,2
1675,Q8,s1,s1,C,3
1676,Q8,s2,s2,D,3
1677,Q8,s3,s3,C,3
1678,Q8,s4,s4,D,3
1679,Q8,s5,s5,D,3
1680,Q8,s6,s6,B,3
1681,Q8,s3,s3 Lab,A,2
1682,Q8,s1,s1 Lab,B,2
1683,Q8,iv,iv,B,2
1684,R0,s1,s1,A,3
1685,R0,s2,s2,C,3
1686,R0,s3,s3,B,3
1687,R0,s4,s4,B,3
1688,R0,s5,s5,O,3
1689,R0,s6,s6,A,3
1690,R0,s3,s3 Lab,O,2
1691,R0,s1,s1 Lab,O,2
1692,R0,iv,iv,O,2
1693,R1,s1,s1,C,3
1694,R1,s2,s2,C,3
1695,R1,s3,s3,D,3
1696,R1,s4,s4,C,3
1697,R1,s5,s5,B,3
1698,R1,s6,s6,B,3
1699,R1,s3,s3 Lab,B,2
1700,R1,s1,s1 Lab,A,2
1701,R1,iv,iv,O,2
1702,R2,s1,s1,C,3
1703,R2,s2,s2,C,3
1704,R2,s3,s3,C,3
1705,R2,s4,s4,F,0
1706,R2,s5,s5,D,3
1707,R2,s6,s6,D,3
1708,R2,s3,s3 Lab,A,2
1709,R2,s1,s1 Lab,A,2
1710,R2,iv,iv,A,2
1711,R3,s1,s1,A,3
1712,R3,s2,s2,C,3
1713,R3,s3,s3,A,3
1714,R3,s4,s4,A,3
1715,R3,s5,s5,A,3
1716,R3,s6,s6,A,3
1717,R3,s3,s3 Lab,A,2
1718,R3,s1,s1 Lab,O,2
1719,R3,iv,iv,O,2
1720,R4,s1,s1,D,3
1721,R4,s2,s2,D,3
1722,R4,s3,s3,D,3
1723,R4,s4,s4,D,3
1724,R4,s5,s5,D,3
1725,R4,s6,s6,C,3
1726,R4,s3,s3 Lab,B,2
1727,R4,s1,s1 Lab,B,2
1728,R4,iv,iv,C,2
1729,R5,s1,s1,O,3
1730,R5,s2,s2,B,3
1731,R5,s3,s3,A,3
1732,R5,s4,s4,A,3
1733,R5,s5,s5,O,3
1734,R5,s6,s6,A,3
1735,R5,s3,s3 Lab,O,2
1736,R5,s1,s1 Lab,O,2
1737,R5,iv,iv,O,2
1738,R6,s1,s1,O,3
1739,R6,s2,s2,A,3
1740,R6,s3,s3,B,3
1741,R6,s4,s4,A,3
1742,R6,s5,s5,O,3
1743,R6,s6,s6,B,3
1744,R6,s3,s3 Lab,A,2
1745,R6,s1,s1 Lab,A,2
1746,R6,iv,iv,O,2
1747,R7,s1,s1,A,3
1748,R7,s2,s2,B,3
1749,R7,s3,s3,B,3
1750,R7,s4,s4,C,3
1751,R7,s5,s5,A,3
1752,R7,s6,s6,A,3
1753,R7,s3,s3 Lab,A,2
1754,R7,s1,s1 Lab,A,2
1755,R7,iv,iv,O,2
1756,R8,s1,s1,B,3
1757,R8,s2,s2,D,3
1758,R8,s3,s3,C,3
1759,R8,s4,s4,C,3
1760,R8,s5,s5,B,3
1761,R8,s6,s6,B,3
1762,R8,s3,s3 Lab,B,2
1763,R8,s1,s1 Lab,A,2
1764,R8,iv,iv,O,2
1765,R9,s1,s1,B,3
1766,R9,s2,s2,C,3
1767,R9,s3,s3,B,3
1768,R9,s4,s4,B,3
1769,R9,s5,s5,O,3
1770,R9,s6,s6,B,3
1771,R9,s3,s3 Lab,A,2
1772,R9,s1,s1 Lab,A,2
1773,R9,iv,iv,O,2
1774,S0,s1,s1,O,3
1775,S0,s2,s2,B,3
1776,S0,s3,s3,A,3
1777,S0,s4,s4,A,3
1778,S0,s5,s5,O,3
1779,S0,s6,s6,A,3
1780,S0,s3,s3 Lab,A,2
1781,S0,s1,s1 Lab,O,2
1782,S0,iv,iv,O,2
1783,S1,s1,s1,C,3
1784,S1,s2,s2,C,3
1785,S1,s3,s3,D,3
1786,S1,s4,s4,D,3
1787,S1,s5,s5,C,3
1788,S1,s6,s6,C,3
1789,S1,s3,s3 Lab,B,2
1790,S1,s1,s1 Lab,C,2
1791,S1,iv,iv,O,2
1792,S2,s1,s1,A,3
1793,S2,s2,s2,C,3
1794,S2,s3,s3,B,3
1795,S2,s4,s4,C,3
1796,S2,s5,s5,B,3
1797,S2,s6,s6,A,3
1798,S2,s3,s3 Lab,B,2
1799,S2,s1,s1 Lab,B,2
1800,S2,iv,iv,O,2
1801,S3,s1,s1,A,3
1802,S3,s2,s2,C,3
1803,S3,s3,s3,B,3
1804,S3,s4,s4,A,3
1805,S3,s5,s5,O,3
1806,S3,s6,s6,B,3
1807,S3,s3,s3 Lab,A,2
1808,S3,s1,s1 Lab,O,2
1809,S3,iv,iv,O,2
1810,S4,s1,s1,B,3
1811,S4,s2,s2,C,3
1812,S4,s3,s3,B,3
1813,S4,s4,s4,C,3
1814,S4,s5,s5,O,3
1815,S4,s6,s6,A,3
1816,S4,s3,s3 Lab,A,2
1817,S4,s1,s1 Lab,A,2
1818,S4,iv,iv,O,2
1819,S5,s1,s1,C,3
1820,S5,s2,s2,C,3
1821,S5,s3,s3,D,3
1822,S5,s4,s4,C,3
1823,S5,s5,s5,C,3
1824,S5,s6,s6,D,3
1825,S5,s3,s3 Lab,B,2
1826,S5,s1,s1 Lab,B,2
1827,S5,iv,iv,O,2
1828,S6,s1,s1,C,3
1829,S6,s2,s2,D,3
1830,S6,s3,s3,D,3
1831,S6,s4,s4,D,3
1832,S6,s5,s5,D,3
1833,S6,s6,s6,C,3
1834,S6,s3,s3 Lab,B,2
1835,S6,s1,s1 Lab,B,2
1836,S6,iv,iv,O,2
1837,S7,s1,s1,C,3
1838,S7,s2,s2,C,3
1839,S7,s3,s3,C,3
1840,S7,s4,s4,D,3
1841,S7,s5,s5,D,3
1842,S7,s6,s6,C,3
1843,S7,s3,s3 Lab,A,2
1844,S7,s1,s1 Lab,A,2
1845,S7,iv,iv,O,2
1846,S8,s1,s1,B,3
1847,S8,s2,s2,C,3
1848,S8,s3,s3,B,3
1849,S8,s4,s4,C,3
1850,S8,s5,s5,B,3
1851,S8,s6,s6,B,3
1852,S8,s3,s3 Lab,A,2
1853,S8,s1,s1 Lab,B,2
1854,S8,iv,iv,O,2
1855,S9,s1,s1,C,3
1856,S9,s2,s2,C,3
1857,S9,s3,s3,B,3
1858,S9,s4,s4,B,3
1859,S9,s5,s5,A,3
1860,S9,s6,s6,B,3
1861,S9,s3,s3 Lab,A,2
1862,S9,s1,s1 Lab,B,2
1863,S9,iv,iv,O,2
1864,T0,s1,s1,C,3
1865,T0,s2,s2,C,3
1866,T0,s3,s3,C,3
1867,T0,s4,s4,C,3
1868,T0,s5,s5,O,3
1869,T0,s6,s6,B,3
1870,T0,s3,s3 Lab,B,2
1871,T0,s1,s1 Lab,A,2
1872,T0,iv,iv,O,2
1873,T1,s1,s1,O,3
1874,T1,s2,s2,C,3
1875,T1,s3,s3,B,3
1876,T1,s4,s4,C,3
1877,T1,s5,s5,A,3
1878,T1,s6,s6,C,3
1879,T1,s3,s3 Lab,A,2
1880,T1,s1,s1 Lab,B,2
1881,T1,iv,iv,O,2
1882,T2,s1,s1,B,3
1883,T2,s2,s2,C,3
1884,T2,s3,s3,C,3
1885,T2,s4,s4,D,3
1886,T2,s5,s5,C,3
1887,T2,s6,s6,B,3
1888,T2,s3,s3 Lab,A,2
1889,T2,s1,s1 Lab,B,2
1890,T2,iv,iv,O,2
1891,T3,s1,s1,C,3
1892,T3,s2,s2,C,3
1893,T3,s3,s3,C,3
1894,T3,s4,s4,C,3
1895,T3,s5,s5,B,3
1896,T3,s6,s6,B,3
1897,T3,s3,s3 Lab,A,2
1898,T3,s1,s1 Lab,B,2
1899,T3,iv,iv,O,2
1900,T4,s1,s1,O,3
1901,T4,s2,s2,B,3
1902,T4,s3,s3,B,3
1903,T4,s4,s4,B,3
1904,T4,s5,s5,A,3
1905,T4,s6,s6,B,3
1906,T4,s3,s3 Lab,A,2
1907,T4,s1,s1 Lab,B,2
1908,T4,iv,iv,O,2
1909,T6,s1,s1,A,3
1910,T6,s2,s2,B,3
1911,T6,s3,s3,C,3
1912,T6,s4,s4,C,3
1913,T6,s5,s5,B,3
1914,T6,s6,s6,B,3
1915,T6,s3,s3 Lab,A,2
1916,T6,s1,s1 Lab,O,2
1917,T6,iv,iv,O,2
1918,T7,s1,s1,F,0
1919,T7,s2,s2,F,0
1920,T7,s3,s3,F,0
1921,T7,s4,s4,F,0
1922,T7,s5,s5,F,0
1923,T7,s6,s6,F,0
1924,T7,s3,s3 Lab,C,2
1925,T7,s1,s1 Lab,B,2
1926,T7,iv,iv,O,2
1927,T8,s1,s1,B,3
1928,T8,s2,s2,D,3
1929,T8,s3,s3,D,3
1930,T8,s4,s4,D,3
1931,T8,s5,s5,D,3
1932,T8,s6,s6,D,3
1933,T8,s3,s3 Lab,B,2
1934,T8,s1,s1 Lab,A,2
1935,T8,iv,iv,D,2
1936,T9,s1,s1,C,3
1937,T9,s2,s2,C,3
1938,T9,s3,s3,D,3
1939,T9,s4,s4,F,0
1940,T9,s5,s5,F,0
1941,T9,s6,s6,D,3
1942,T9,s3,s3 Lab,C,2
1943,T9,s1,s1 Lab,A,2
1944,T9,iv,iv,O,2
1945,U0,s1,s1,C,3
1946,U0,s2,s2,C,3
1947,U0,s3,s3,C,3
1948,U0,s4,s4,D,3
1949,U0,s5,s5,A,3
1950,U0,s6,s6,C,3
1951,U0,s3,s3 Lab,B,2
1952,U0,s1,s1 Lab,A,2
1953,U0,iv,iv,C,2
1954,U1,s1,s1,C,3
1955,U1,s2,s2,C,3
1956,U1,s3,s3,D,3
1957,U1,s4,s4,D,3
1958,U1,s5,s5,D,3
1959,U1,s6,s6,D,3
1960,U1,s3,s3 Lab,B,2
1961,U1,s1,s1 Lab,A,2
1962,U1,iv,iv,O,2
1963,U2,s1,s1,C,3
1964,U2,s2,s2,C,3
1965,U2,s3,s3,D,3
1966,U2,s4,s4,D,3
1967,U2,s5,s5,B,3
1968,U2,s6,s6,B,3
1969,U2,s3,s3 Lab,B,2
1970,U2,s1,s1 Lab,A,2
1971,U2,iv,iv,O,2
1972,U3,s1,s1,F,0
1973,U3,s2,s2,F,0
1974,U3,s3,s3,F,0
1975,U3,s4,s4,F,0
1976,U3,s5,s5,F,0
1977,U3,s6,s6,F,0
1978,U3,s3,s3 Lab,AB,0
1979,U3,s1,s1 Lab,AB,0
1980,U3,iv,iv,D,2
1981,U4,s1,s1,C,3
1982,U4,s2,s2,D,3
1983,U4,s3,s3,D,3
1984,U4,s4,s4,D,3
1985,U4,s5,s5,C,3
1986,U4,s6,s6,C,3
1987,U4,s3,s3 Lab,B,2
1988,U4,s1,s1 Lab,B,2
1989,U4,iv,iv,O,2
1990,U5,s1,s1,C,3
1991,U5,s2,s2,D,3
1992,U5,s3,s3,D,3
1993,U5,s4,s4,D,3
1994,U5,s5,s5,F,0
1995,U5,s6,s6,D,3
1996,U5,s3,s3 Lab,B,2
1997,U5,s1,s1 Lab,B,2
1998,U5,iv,iv,B,2
1999,L01,s1,s1,C,3
2000,L01,s2,s2,D,3
2001,L01,s3,s3,D,3
2002,L01,s4,s4,D,3
2003,L01,s5,s5,F,0
2004,L01,s6,s6,D,3
2005,L01,s3,s3 Lab,C,2
2006,L01,s1,s1 Lab,A,2
2007,L01,iv,iv,B,2
2008,L03,s1,s1,C,3
2009,L03,s2,s2,D,3
2010,L03,s3,s3,F,0
2011,L03,s4,s4,D,3
2012,L03,s5,s5,F,0
2013,L03,s6,s6,D,3
2014,L03,s3,s3 Lab,B,2
2015,L03,s1,s1 Lab,A,2
2016,L03,iv,iv,A,2
2017,L04,s1,s1,D,3
2018,L04,s2,s2,D,3
2019,L04,s3,s3,C,3
2020,L04,s4,s4,D,3
2021,L04,s5,s5,D,3
2022,L04,s6,s6,D,3
2023,L04,s3,s3 Lab,B,2
2024,L04,s1,s1 Lab,A,2
2025,L04,iv,iv,O,2
2026,L06,s1,s1,B,3
2027,L06,s2,s2,D,3
2028,L06,s3,s3,F,0
2029,L06,s4,s4,D,3
2030,L06,s5,s5,C,3
2031,L06,s6,s6,C,3
2032,L06,s3,s3 Lab,A,2
2033,L06,s1,s1 Lab,A,2
2034,L06,iv,iv,O,2
2035,L08,s1,s1,B,3
2036,L08,s2,s2,C,3
2037,L08,s3,s3,D,3
2038,L08,s4,s4,C,3
2039,L08,s5,s5,C,3
2040,L08,s6,s6,D,3
2041,L08,s3,s3 Lab,C,2
2042,L08,s1,s1 Lab,A,2
2043,L08,iv,iv,O,2
2044,L11,s1,s1,B,3
2045,L11,s2,s2,C,3
2046,L11,s3,s3,F,0
2047,L11,s4,s4,C,3
2048,L11,s5,s5,F,0
2049,L11,s6,s6,F,0
2050,L11,s3,s3 Lab,C,2
2051,L11,s1,s1 Lab,A,2
2052,L11,iv,iv,O,2
2053,L14,s1,s1,C,3
2054,L14,s2,s2,B,3
2055,L14,s3,s3,D,3
2056,L14,s4,s4,C,3
2057,L14,s5,s5,D,3
2058,L14,s6,s6,C,3
2059,L14,s3,s3 Lab,B,2
2060,L14,s1,s1 Lab,A,2
2061,L14,iv,iv,O,2
2062,L15,s1,s1,C,3
2063,L15,s2,s2,D,3
2064,L15,s3,s3,D,3
2065,L15,s4,s4,D,3
2066,L15,s5,s5,F,0
2067,L15,s6,s6,D,3
2068,L15,s3,s3 Lab,B,2
2069,L15,s1,s1 Lab,O,2
2070,L15,iv,iv,F,0
2071,L22,s1,s1,D,3
2072,L22,s2,s2,D,3
2073,L22,s3,s3,D,3
2074,L22,s4,s4,D,3
2075,L22,s5,s5,F,0
2076,L22,s6,s6,C,3
2077,L22,s3,s3 Lab,B,2
2078,L22,s1,s1 Lab,O,2
2079,L22,iv,iv,C,2
2080,L23,s1,s1,A,3
2081,L23,s2,s2,C,3
2082,L23,s3,s3,D,3
2083,L23,s4,s4,C,3
2084,L23,s5,s5,D,3
2085,L23,s6,s6,C,3
2086,L23,s3,s3 Lab,A,2
2087,L23,s1,s1 Lab,O,2
2088,L23,iv,iv,C,2
2089,L24,s1,s1,C,3
2090,L24,s2,s2,D,3
2091,L24,s3,s3,F,0
2092,L24,s4,s4,D,3
2093,L24,s5,s5,F,0
2094,L24,s6,s6,C,3
2095,L24,s3,s3 Lab,B,2
2096,L24,s1,s1 Lab,O,2
2097,L24,iv,iv,O,2
2098,L25,s1,s1,B,3
2099,L25,s2,s2,C,3
2100,L25,s3,s3,B,3
2101,L25,s4,s4,B,3
2102,L25,s5,s5,C,3
2103,L25,s6,s6,C,3
2104,L25,s3,s3 Lab,B,2
2105,L25,s1,s1 Lab,O,2
2106,L25,iv,iv,O,2
2107,L26,s1,s1,AB,0
2108,L26,s2,s2,F,0
2109,L26,s3,s3,F,0
2110,L26,s4,s4,F,0
2111,L26,s5,s5,F,0
2112,L26,s6,s6,F,0
2113,L26,s3,s3 Lab,C,2
2114,L26,s1,s1 Lab,A,2
2115,L26,iv,iv,D,2
2116,L27,s1,s1,C,3
2117,L27,s2,s2,C,3
2118,L27,s3,s3,D,3
2119,L27,s4,s4,C,3
2120,L27,s5,s5,D,3
2121,L27,s6,s6,C,3
2122,L27,s3,s3 Lab,A,2
2123,L27,s1,s1 Lab,O,2
2124,L27,iv,iv,O,2
2125,L28,s1,s1,F,0
2126,L28,s2,s2,D,3
2127,L28,s3,s3,F,0
2128,L28,s4,s4,F,0
2129,L28,s5,s5,D,3
2130,L28,s6,s6,D,3
2131,L28,s3,s3 Lab,C,2
2132,L28,s1,s1 Lab,A,2
2133,L28,iv,iv,O,2
2134,L30,s1,s1,B,3
2135,L30,s2,s2,C,3
2136,L30,s3,s3,B,3
2137,L30,s4,s4,C,3
2138,L30,s5,s5,D,3
2139,L30,s6,s6,B,3
2140,L30,s3,s3 Lab,A,2
2141,L30,s1,s1 Lab,O,2
2142,L30,iv,iv,B,2
2143,L31,s1,s1,D,3
2144,L31,s2,s2,D,3
2145,L31,s3,s3,F,0
2146,L31,s4,s4,D,3
2147,L31,s5,s5,F,0
2148,L31,s6,s6,F,0
2149,L31,s3,s3 Lab,C,2
2150,L31,s1,s1 Lab,A,2
2151,L31,iv,iv,A,2
2152,L35,s1,s1,F,0
2153,L35,s2,s2,F,0
2154,L35,s3,s3,AB,0
2155,L35,s4,s4,F,0
2156,L35,s5,s5,AB,0
2157,L35,s6,s6,F,0
2158,L35,s3,s3 Lab,AB,0
2159,L35,s1,s1 Lab,AB,0
2160,L35,iv,iv,D,2
2161,L36,s1,s1,D,3
2162,L36,s2,s2,D,3
2163,L36,s3,s3,F,0
2164,L36,s4,s4,F,0
2165,L36,s5,s5,F,0
2166,L36,s6,s6,F,0
2167,L36,s3,s3 Lab,D,2
2168,L36,s1,s1 Lab,O,2
2169,L36,iv,iv,O,2
